Site,Latitude,Longitude,Elevation,Time,Depth,LakeElevation,BedTemperature
HarryPotter,70.032,-152.194,12.3,10/3/18,2.21,12.26,1.1
HarryPotter,70.032,-152.194,12.3,10/4/18,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,10/5/18,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,10/6/18,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,10/7/18,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,10/8/18,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,10/9/18,NaN,NaN,0.9
HarryPotter,70.032,-152.194,12.3,10/10/18,2.21,12.26,1.0
HarryPotter,70.032,-152.194,12.3,10/11/18,2.21,12.26,1.1
HarryPotter,70.032,-152.194,12.3,10/12/18,2.21,12.26,1.2
HarryPotter,70.032,-152.194,12.3,10/13/18,2.21,12.26,1.3
HarryPotter,70.032,-152.194,12.3,10/14/18,2.21,12.26,1.4
HarryPotter,70.032,-152.194,12.3,10/15/18,2.21,12.26,1.4
HarryPotter,70.032,-152.194,12.3,10/16/18,2.22,12.27,1.5
HarryPotter,70.032,-152.194,12.3,10/17/18,2.22,12.27,1.6
HarryPotter,70.032,-152.194,12.3,10/18/18,2.22,12.27,1.7
HarryPotter,70.032,-152.194,12.3,10/19/18,2.22,12.27,1.8
HarryPotter,70.032,-152.194,12.3,10/20/18,2.22,12.27,1.8
HarryPotter,70.032,-152.194,12.3,10/21/18,2.22,12.27,1.9
HarryPotter,70.032,-152.194,12.3,10/22/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,10/23/18,2.21,12.26,2.0
HarryPotter,70.032,-152.194,12.3,10/24/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,10/25/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,10/26/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,10/27/18,2.22,12.27,2.1
HarryPotter,70.032,-152.194,12.3,10/28/18,2.22,12.27,2.1
HarryPotter,70.032,-152.194,12.3,10/29/18,2.22,12.27,2.1
HarryPotter,70.032,-152.194,12.3,10/30/18,2.21,12.26,2.1
HarryPotter,70.032,-152.194,12.3,10/31/18,2.21,12.26,2.1
HarryPotter,70.032,-152.194,12.3,11/1/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,11/2/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,11/3/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,11/4/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,11/5/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,11/6/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,11/7/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,11/8/18,2.22,12.27,2.0
HarryPotter,70.032,-152.194,12.3,11/9/18,2.22,12.27,1.9
HarryPotter,70.032,-152.194,12.3,11/10/18,2.22,12.27,1.9
HarryPotter,70.032,-152.194,12.3,11/11/18,2.22,12.27,1.8
HarryPotter,70.032,-152.194,12.3,11/12/18,2.22,12.27,1.8
HarryPotter,70.032,-152.194,12.3,11/13/18,2.21,12.26,1.7
HarryPotter,70.032,-152.194,12.3,11/14/18,2.21,12.26,1.7
HarryPotter,70.032,-152.194,12.3,11/15/18,2.21,12.26,1.6
HarryPotter,70.032,-152.194,12.3,11/16/18,2.22,12.27,1.5
HarryPotter,70.032,-152.194,12.3,11/17/18,2.22,12.27,1.4
HarryPotter,70.032,-152.194,12.3,11/18/18,2.22,12.27,1.3
HarryPotter,70.032,-152.194,12.3,11/19/18,2.22,12.27,1.3
HarryPotter,70.032,-152.194,12.3,11/20/18,2.23,12.28,1.2
HarryPotter,70.032,-152.194,12.3,11/21/18,2.23,12.28,1.1
HarryPotter,70.032,-152.194,12.3,11/22/18,2.23,12.28,1.1
HarryPotter,70.032,-152.194,12.3,11/23/18,2.22,12.27,1.1
HarryPotter,70.032,-152.194,12.3,11/24/18,2.22,12.27,1.1
HarryPotter,70.032,-152.194,12.3,11/25/18,2.22,12.27,1.2
HarryPotter,70.032,-152.194,12.3,11/26/18,2.23,12.28,1.2
HarryPotter,70.032,-152.194,12.3,11/27/18,2.24,12.29,1.1
HarryPotter,70.032,-152.194,12.3,11/28/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,11/29/18,2.23,12.28,1.0
HarryPotter,70.032,-152.194,12.3,11/30/18,2.23,12.28,1.0
HarryPotter,70.032,-152.194,12.3,12/1/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/2/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/3/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/4/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/5/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/6/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/7/18,2.23,12.28,1.0
HarryPotter,70.032,-152.194,12.3,12/8/18,2.23,12.28,1.0
HarryPotter,70.032,-152.194,12.3,12/9/18,2.23,12.28,1.0
HarryPotter,70.032,-152.194,12.3,12/10/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/11/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/12/18,2.24,12.29,1.0
HarryPotter,70.032,-152.194,12.3,12/13/18,NaN,NaN,0.9
HarryPotter,70.032,-152.194,12.3,12/14/18,NaN,NaN,0.9
HarryPotter,70.032,-152.194,12.3,12/15/18,NaN,NaN,0.9
HarryPotter,70.032,-152.194,12.3,12/16/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/17/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/18/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/19/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/20/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/21/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/22/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/23/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/24/18,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,12/25/18,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,12/26/18,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,12/27/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/28/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/29/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/30/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,12/31/18,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,1/1/19,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,1/2/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,1/3/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,1/4/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,1/5/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,1/6/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,1/7/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,1/8/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,1/9/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,1/10/19,NaN,NaN,0.6
HarryPotter,70.032,-152.194,12.3,1/11/19,NaN,NaN,0.6
HarryPotter,70.032,-152.194,12.3,1/12/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/13/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/14/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/15/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/16/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/17/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/18/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,1/19/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,1/20/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/21/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/22/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/23/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/24/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/25/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/26/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/27/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/28/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/29/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/30/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,1/31/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/1/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/2/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/3/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/4/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/5/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/6/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/7/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/8/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/9/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/10/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/11/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/12/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/13/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/14/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/15/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/16/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/17/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/18/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/19/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/20/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/21/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/22/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,2/23/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/24/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/25/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/26/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/27/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,2/28/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/1/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/2/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/3/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/4/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/5/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/6/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/7/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/8/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/9/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/10/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/11/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/12/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/13/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/14/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/15/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/16/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/17/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/18/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/19/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/20/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,3/21/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/22/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/23/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/24/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/25/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/26/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/27/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/28/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/29/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/30/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,3/31/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,4/1/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,4/2/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,4/3/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/4/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/5/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/6/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/7/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/8/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/9/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/10/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/11/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/12/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/13/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/14/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/15/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/16/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/17/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/18/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,4/19/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,4/20/19,NaN,NaN,0.2
HarryPotter,70.032,-152.194,12.3,4/21/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/22/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/23/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/24/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/25/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/26/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/27/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/28/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,4/29/19,NaN,NaN,0.3
HarryPotter,70.032,-152.194,12.3,4/30/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/1/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/2/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/3/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/4/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/5/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/6/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/7/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/8/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/9/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/10/19,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,5/11/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,5/12/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,5/13/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,5/14/19,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,5/15/19,NaN,NaN,0.6
HarryPotter,70.032,-152.194,12.3,5/16/19,NaN,NaN,0.6
HarryPotter,70.032,-152.194,12.3,5/17/19,NaN,NaN,0.6
HarryPotter,70.032,-152.194,12.3,5/18/19,NaN,NaN,0.7
HarryPotter,70.032,-152.194,12.3,5/19/19,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,5/20/19,NaN,NaN,0.8
HarryPotter,70.032,-152.194,12.3,5/21/19,2.32,12.37,0.9
HarryPotter,70.032,-152.194,12.3,5/22/19,2.33,12.38,1.2
HarryPotter,70.032,-152.194,12.3,5/23/19,2.34,12.39,1.4
HarryPotter,70.032,-152.194,12.3,5/24/19,2.34,12.39,1.6
HarryPotter,70.032,-152.194,12.3,5/25/19,2.35,12.40,1.8
HarryPotter,70.032,-152.194,12.3,5/26/19,2.37,12.42,2.0
HarryPotter,70.032,-152.194,12.3,5/27/19,2.39,12.44,2.2
HarryPotter,70.032,-152.194,12.3,5/28/19,2.40,12.45,2.5
HarryPotter,70.032,-152.194,12.3,5/29/19,2.41,12.46,2.8
HarryPotter,70.032,-152.194,12.3,5/30/19,2.41,12.46,3.1
HarryPotter,70.032,-152.194,12.3,5/31/19,2.40,12.45,3.1
HarryPotter,70.032,-152.194,12.3,6/1/19,2.39,12.44,3.0
HarryPotter,70.032,-152.194,12.3,6/2/19,2.38,12.43,3.3
HarryPotter,70.032,-152.194,12.3,6/3/19,2.37,12.42,3.5
HarryPotter,70.032,-152.194,12.3,6/4/19,2.37,12.42,3.7
HarryPotter,70.032,-152.194,12.3,6/5/19,2.36,12.41,3.8
HarryPotter,70.032,-152.194,12.3,6/6/19,2.35,12.40,3.7
HarryPotter,70.032,-152.194,12.3,6/7/19,2.35,12.40,4.3
HarryPotter,70.032,-152.194,12.3,6/8/19,2.34,12.39,5.1
HarryPotter,70.032,-152.194,12.3,6/9/19,2.33,12.38,5.3
HarryPotter,70.032,-152.194,12.3,6/10/19,2.33,12.38,5.5
HarryPotter,70.032,-152.194,12.3,6/11/19,2.32,12.37,5.7
HarryPotter,70.032,-152.194,12.3,6/12/19,2.32,12.37,5.9
HarryPotter,70.032,-152.194,12.3,6/13/19,2.32,12.37,5.8
HarryPotter,70.032,-152.194,12.3,6/14/19,2.32,12.37,5.8
HarryPotter,70.032,-152.194,12.3,6/15/19,2.32,12.37,6.6
HarryPotter,70.032,-152.194,12.3,6/16/19,2.31,12.36,7.0
HarryPotter,70.032,-152.194,12.3,6/17/19,2.31,12.36,5.6
HarryPotter,70.032,-152.194,12.3,6/18/19,2.31,12.36,6.1
HarryPotter,70.032,-152.194,12.3,6/19/19,2.30,12.35,5.6
HarryPotter,70.032,-152.194,12.3,6/20/19,2.30,12.35,5.4
HarryPotter,70.032,-152.194,12.3,6/21/19,2.30,12.35,5.5
HarryPotter,70.032,-152.194,12.3,6/22/19,2.30,12.35,4.8
HarryPotter,70.032,-152.194,12.3,6/23/19,2.30,12.35,4.4
HarryPotter,70.032,-152.194,12.3,6/24/19,2.30,12.35,4.1
HarryPotter,70.032,-152.194,12.3,6/25/19,2.30,12.35,3.9
HarryPotter,70.032,-152.194,12.3,6/26/19,2.29,12.34,5.0
HarryPotter,70.032,-152.194,12.3,6/27/19,2.29,12.34,7.2
HarryPotter,70.032,-152.194,12.3,6/28/19,2.29,12.34,8.1
HarryPotter,70.032,-152.194,12.3,6/29/19,2.28,12.33,8.9
HarryPotter,70.032,-152.194,12.3,6/30/19,2.28,12.33,9.9
HarryPotter,70.032,-152.194,12.3,7/1/19,2.28,12.33,10.6
HarryPotter,70.032,-152.194,12.3,7/2/19,2.28,12.33,11.9
HarryPotter,70.032,-152.194,12.3,7/3/19,2.28,12.33,13.2
HarryPotter,70.032,-152.194,12.3,7/4/19,2.27,12.32,14.1
HarryPotter,70.032,-152.194,12.3,7/5/19,2.27,12.32,15.0
HarryPotter,70.032,-152.194,12.3,7/6/19,2.27,12.32,15.6
HarryPotter,70.032,-152.194,12.3,7/7/19,2.26,12.31,17.0
HarryPotter,70.032,-152.194,12.3,7/8/19,2.26,12.31,17.6
HarryPotter,70.032,-152.194,12.3,7/9/19,2.25,12.30,17.7
HarryPotter,70.032,-152.194,12.3,7/10/19,2.25,12.30,15.8
HarryPotter,70.032,-152.194,12.3,7/11/19,2.24,12.29,14.8
HarryPotter,70.032,-152.194,12.3,7/12/19,2.24,12.29,14.7
HarryPotter,70.032,-152.194,12.3,7/13/19,2.23,12.28,14.8
HarryPotter,70.032,-152.194,12.3,7/14/19,2.23,12.28,16.2
HarryPotter,70.032,-152.194,12.3,7/15/19,2.23,12.28,16.5
HarryPotter,70.032,-152.194,12.3,7/16/19,2.23,12.28,15.7
HarryPotter,70.032,-152.194,12.3,7/17/19,2.23,12.28,14.5
HarryPotter,70.032,-152.194,12.3,7/18/19,2.23,12.28,13.7
HarryPotter,70.032,-152.194,12.3,7/19/19,2.23,12.28,13.4
HarryPotter,70.032,-152.194,12.3,7/20/19,2.24,12.29,13.1
HarryPotter,70.032,-152.194,12.3,7/21/19,2.24,12.29,12.6
HarryPotter,70.032,-152.194,12.3,7/22/19,2.24,12.29,13.1
HarryPotter,70.032,-152.194,12.3,7/23/19,2.24,12.29,13.6
HarryPotter,70.032,-152.194,12.3,7/24/19,2.24,12.29,13.8
HarryPotter,70.032,-152.194,12.3,7/25/19,2.24,12.29,14.0
HarryPotter,70.032,-152.194,12.3,7/26/19,2.23,12.28,14.1
HarryPotter,70.032,-152.194,12.3,7/27/19,2.24,12.29,14.0
HarryPotter,70.032,-152.194,12.3,7/28/19,2.23,12.28,13.3
HarryPotter,70.032,-152.194,12.3,7/29/19,2.23,12.28,13.6
HarryPotter,70.032,-152.194,12.3,7/30/19,2.23,12.28,13.9
HarryPotter,70.032,-152.194,12.3,7/31/19,2.23,12.28,14.1
HarryPotter,70.032,-152.194,12.3,8/1/19,2.23,12.28,13.1
HarryPotter,70.032,-152.194,12.3,8/2/19,2.22,12.27,12.3
HarryPotter,70.032,-152.194,12.3,8/3/19,2.23,12.28,12.4
HarryPotter,70.032,-152.194,12.3,8/4/19,2.23,12.28,11.5
HarryPotter,70.032,-152.194,12.3,8/5/19,2.23,12.28,11.7
HarryPotter,70.032,-152.194,12.3,8/6/19,2.23,12.28,11.3
HarryPotter,70.032,-152.194,12.3,8/7/19,2.22,12.27,11.2
HarryPotter,70.032,-152.194,12.3,8/8/19,2.23,12.28,10.9
HarryPotter,70.032,-152.194,12.3,8/9/19,2.23,12.28,10.5
HarryPotter,70.032,-152.194,12.3,8/10/19,2.23,12.28,9.7
HarryPotter,70.032,-152.194,12.3,8/11/19,2.23,12.28,8.9
HarryPotter,70.032,-152.194,12.3,8/12/19,2.23,12.28,8.9
HarryPotter,70.032,-152.194,12.3,8/13/19,2.24,12.29,9.7
HarryPotter,70.032,-152.194,12.3,8/14/19,2.25,12.30,10.4
HarryPotter,70.032,-152.194,12.3,8/15/19,2.25,12.30,10.1
HarryPotter,70.032,-152.194,12.3,8/16/19,2.25,12.30,9.8
HarryPotter,70.032,-152.194,12.3,8/17/19,2.25,12.30,8.9
HarryPotter,70.032,-152.194,12.3,8/18/19,2.25,12.30,8.7
HarryPotter,70.032,-152.194,12.3,8/19/19,2.25,12.30,8.4
HarryPotter,70.032,-152.194,12.3,8/20/19,2.25,12.30,7.9
HarryPotter,70.032,-152.194,12.3,8/21/19,2.25,12.30,7.8
HarryPotter,70.032,-152.194,12.3,8/22/19,2.25,12.30,8.0
HarryPotter,70.032,-152.194,12.3,8/23/19,2.25,12.30,7.7
HarryPotter,70.032,-152.194,12.3,8/24/19,2.25,12.30,7.5
HarryPotter,70.032,-152.194,12.3,8/25/19,2.26,12.31,7.6
HarryPotter,70.032,-152.194,12.3,8/26/19,2.26,12.31,7.6
HarryPotter,70.032,-152.194,12.3,8/27/19,2.29,12.34,7.8
